;;Mes anterior;1Q JUL;;Mes actual;1Q AGO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;julio;2Q JUL;;agosto;2Q AGO;;;;;Nota:;Las formulas de Martella pond acumulado y The Rock pond acumulado son diferentes para obras con periodo de arranque 1Q y 2Q, ver bien eso al agregar una nueva obra a la base;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LMB;;feb-26;mar-26;abr-26;may-26;jun-26;jul-26;ago-26;sept-26;oct-26;nov-26;dic-26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LMB;Martella pond mensual;1.12;0.97;0.95;0.99;0.98;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LMB;;feb-26;mar-26;abr-26;may-26;jun-26;jul-26;ago-26;sept-26;oct-26;nov-26;dic-26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LMB;The Rock pond mensual;0.37;0.66;0.98;1.15;0.56;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LMB;;feb-26;mar-26;abr-26;may-26;jun-26;jul-26;ago-26;sept-26;oct-26;nov-26;dic-26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LMB;Martella pond acumulado;1.12;1.01;0.99;0.99;0.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LMB;The Rock pond acumulado;0.37;0.59;0.74;0.91;0.82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LMB;;feb-26;mar-26;abr-26;may-26;jun-26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LMB;Pase licitacion;1.29;1.29;1.29;1.29;1.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LMB;;feb-26;mar-26;abr-26;may-26;jun-26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LMB;Pase esperado;1.28;1.26;1.22;1.21;1.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LMB;;feb-26;mar-26;abr-26;may-26;jun-26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LMB;Coef de pase;1.01;1.02;1.06;1.07;1.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LMB;;1Q FEB 26;2Q FEB 26;1Q MAR 26;2Q MAR 26;1Q ABR 26;2Q ABR 26;1Q MAY 26;2Q MAY 26;1Q JUN 26;2Q JUN 26;1Q JUL 26;2Q JUL 26;1Q AGO 26;2Q AGO 26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
